id,class,x,y,vx,vy,timestamp_ms
563012345,Vessel,0.0,-1480.0,0.0,30.0,0
563023456,Vessel,100.0,1200.0,0.0,-0.5,0
563012345,Vessel,0.0,-1450.0,0.0,30.0,1000
563023456,Vessel,100.0,1200.0,0.0,-0.5,1000
563012345,Vessel,0.0,-1420.0,0.0,30.0,2000
563023456,Vessel,100.0,1200.0,0.0,-0.5,2000
563012345,Vessel,0.0,-1390.0,0.0,30.0,3000
563023456,Vessel,100.0,1200.0,0.0,-0.5,3000
563012345,Vessel,0.0,-1360.0,0.0,30.0,4000
563023456,Vessel,100.0,1200.0,0.0,-0.5,4000
563012345,Vessel,0.0,-1330.0,0.0,30.0,5000
563023456,Vessel,100.0,1200.0,0.0,-0.5,5000
563012345,Vessel,0.0,-1300.0,0.0,30.0,6000
563023456,Vessel,100.0,1200.0,0.0,-0.5,6000
563012345,Vessel,0.0,-1270.0,0.0,30.0,7000
563023456,Vessel,100.0,1200.0,0.0,-0.5,7000
563012345,Vessel,0.0,-1240.0,0.0,30.0,8000
563023456,Vessel,100.0,1200.0,0.0,-0.5,8000
563012345,Vessel,0.0,-1210.0,0.0,30.0,9000
563023456,Vessel,100.0,1200.0,0.0,-0.5,9000
563012345,Vessel,0.0,-1180.0,0.0,30.0,10000
563023456,Vessel,100.0,1200.0,0.0,-0.5,10000
563012345,Vessel,0.0,-1150.0,0.0,30.0,11000
563023456,Vessel,100.0,1200.0,0.0,-0.5,11000
563012345,Vessel,0.0,-1120.0,0.0,30.0,12000
563023456,Vessel,100.0,1200.0,0.0,-0.5,12000
563012345,Vessel,0.0,-1090.0,0.0,30.0,13000
563023456,Vessel,100.0,1200.0,0.0,-0.5,13000
563012345,Vessel,0.0,-1060.0,0.0,30.0,14000
563023456,Vessel,100.0,1200.0,0.0,-0.5,14000
563012345,Vessel,0.0,-1030.0,0.0,30.0,15000
563023456,Vessel,100.0,1200.0,0.0,-0.5,15000
563012345,Vessel,0.0,-1000.0,0.0,30.0,16000
563023456,Vessel,100.0,1200.0,0.0,-0.5,16000
563012345,Vessel,0.0,-970.0,0.0,30.0,17000
